artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Good Times Ahead, Cimo Fränkel",All About It (GTA & Cimo Fränkel),brostep,0.505,0.908,2,-5.254,1,0.0483,0.00657,0.00185,0.516,0.711,156.045,198120,4
Ashnikko,You Make Me Sick!,alt z,0.839,0.856,10,-3.468,0,0.159,0.0259,0.0,0.1,0.524,80.532,138299,4
"Malik Montana, DaChoyce",Matalo,polish drill,0.819,0.614,2,-6.341,1,0.347,0.235,0.0,0.165,0.328,140.132,128534,4
"Malik Montana, Dosseh",Click Clack Bang,polish drill,0.956,0.438,10,-8.816,1,0.111,0.0245,1.07e-06,0.114,0.464,129.973,128557,4
"Malik Montana, NLE Choppa",Ostre Pestki (feat. NLE Choppa),polish drill,0.795,0.776,6,-5.288,1,0.398,0.138,0.0,0.313,0.781,145.016,142402,4
Malik Montana,Czarno Biały Świat,polish drill,0.426,0.619,10,-8.214,0,0.538,0.126,0.0,0.272,0.585,83.622,137215,4
"BAHsick, Miszel, White Widow, Aleshen, Asster, Frosti, Buffel, Bary, Kosior, Pako",DANSE MACABRE,polish underground rap,0.676,0.701,10,-7.274,0,0.377,0.324,0.0,0.158,0.487,72.727,279469,4
Guzior,2018,polish hip hop,0.655,0.744,0,-4.937,0,0.384,0.34,0.0,0.104,0.27,83.763,165714,4
Gzuz,¿ Warum ?,deep german hip hop,0.542,0.717,5,-4.241,1,0.405,0.372,0.0,0.131,0.483,159.91,192255,4
chillwagon,tęczowy music box,polish hip hop,0.674,0.721,10,-7.675,0,0.306,0.305,0.0,0.343,0.835,147.003,174294,4
chillwagon,ziarnko do ziarnka,polish hip hop,0.778,0.652,6,-4.331,1,0.251,0.159,0.000235,0.157,0.516,82.975,186526,4
chillwagon,jumper,polish hip hop,0.745,0.762,7,-3.716,1,0.229,0.0186,0.0,0.0946,0.513,123.936,179307,4
chillwagon,chillwagon,polish hip hop,0.799,0.518,8,-9.44,1,0.28,0.483,0.0,0.115,0.406,120.03,196480,4
chillwagon,squo,polish hip hop,0.861,0.634,9,-5.937,1,0.277,0.33,0.0,0.139,0.612,130.048,134773,4
"Gedz, Chris Carson, 808Bros",Urwis,polish hip hop,0.823,0.705,11,-5.815,1,0.238,0.0603,0.0,0.0979,0.791,155.057,164129,4
BeCeKa,Hogwart,,0.739,0.758,6,-5.074,1,0.245,0.417,0.0,0.0959,0.759,139.945,186000,4
"Avi, Louis Villain",Testament,polish hip hop,0.653,0.705,1,-6.517,1,0.526,0.037,0.0,0.349,0.203,77.456,143600,4
Asster,HORYZONT,polish hip hop,0.892,0.755,8,-9.195,0,0.247,0.159,0.0,0.103,0.86,136.897,171712,4
"Gedz, Deemz, 808Bros",Gehenna,polish hip hop,0.836,0.498,1,-5.695,1,0.416,0.11,0.0,0.214,0.608,84.978,163765,4
Cinek,CCTV,polish drill,0.824,0.787,0,-5.411,1,0.166,0.122,0.0,0.105,0.683,139.962,169744,4
Aleshen,ZAZA,polish hip hop,0.761,0.548,11,-10.993,0,0.38,0.0458,0.0,0.22,0.503,79.541,168000,4
Gzuz,Donuts,deep german hip hop,0.784,0.703,11,-7.491,0,0.236,0.0973,8.32e-05,0.0754,0.556,141.035,162938,4
AOTP,Łza,,0.714,0.597,0,-8.452,0,0.131,0.531,0.0,0.115,0.601,136.116,259412,4
"Lazy3x, Lil Darkie",2K FREESTYLE,necrotrap,0.591,0.682,8,-2.974,1,0.308,0.00193,0.0,0.103,0.277,108.953,213000,5
"Malik Montana, Szamz",OMDB,polish drill,0.752,0.488,8,-10.239,1,0.453,0.28,0.0,0.324,0.726,151.666,147628,4
"Lil Darkie, CUBENSiS",BIG WAR,glitchcore,0.458,0.966,8,1.183,0,0.394,0.32,0.0,0.162,0.481,127.93,577500,4
"Freddie Dredd, Lil Darkie",Kick Rocks (feat. Lil Darkie),aesthetic rap,0.931,0.805,1,-4.698,1,0.0632,0.00107,0.837,0.126,0.966,140.004,171680,4
"Freddie Dredd, prodby668",Want (feat. prodby668),aesthetic rap,0.725,0.672,2,-8.141,1,0.277,0.000228,0.0013,0.194,0.696,157.965,108013,4
Freddie Dredd,Regardless,aesthetic rap,0.753,0.627,5,-8.564,1,0.087,0.000509,0.0,0.0922,0.637,140.006,137147,4
ŚWIĘTY BASS,DAJ ZNAĆ,polish alternative rap,0.592,0.632,6,-7.595,1,0.338,0.0836,3.75e-05,0.163,0.459,172.15,196744,4
"Oki, ŚWIĘTY BASS, @atutowy, Gedz",SIRI - ŚWIĘTY BASS x @atutowy Remix,polish hip hop,0.802,0.693,6,-6.251,0,0.361,0.0216,0.0,0.142,0.572,138.102,189565,4
"Aleshen, BAHsick",FINI,polish hip hop,0.504,0.681,7,-8.593,0,0.857,0.232,0.0,0.0961,0.473,75.379,142400,4
Oliver Tree,Joke's On You!,alternative hip hop,0.567,0.8,11,-6.887,1,0.113,0.00449,0.000134,0.301,0.376,156.963,191144,4
"club2020, Taco Hemingway, Oki, Otsochodzi, Young Igi, Łajzol, Gruby Mielzky, HAŁASTRA, Kukon, Dwa Sławy, Young Leosia, CatchUp, Margaret, schafter, DZIARMA, Szczyl, Miły ATZ, @atutowy",CYPHER2022,polish hip hop,0.713,0.571,1,-5.864,1,0.327,0.0518,0.0,0.228,0.481,92.875,190968,4
"ReTo, Słoń, Wroobel",Król jest nagi,polish hip hop,0.682,0.695,9,-7.394,0,0.262,0.144,0.0,0.228,0.491,160.153,184733,4
"Dillon Francis, ILLENIUM, EVAN GIIA",Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA),brostep,0.469,0.724,9,-4.711,1,0.0567,0.0399,0.0,0.148,0.399,145.943,205479,4
"OUTPOST, Gr4nd",fine,,0.649,0.612,11,-13.724,0,0.0718,0.0131,1.73e-05,0.352,0.596,92.972,186301,4
"Monopol, Gr4nd",Plener,,0.779,0.49,6,-12.066,1,0.225,0.412,0.000223,0.0544,0.9,165.949,189398,4
"HAARPER, Freddie Dredd",Wtf U Mean,aesthetic rap,0.8,0.834,0,-3.809,1,0.0452,0.0823,0.325,0.0926,0.968,144.932,118034,4
"Otsochodzi, Oskar83",WWA Melanż,polish hip hop,0.921,0.75,1,-6.643,1,0.213,0.261,0.0,0.25,0.332,110.034,133091,4
HAARPER,The Alchemist,aesthetic rap,0.859,0.797,1,-6.404,1,0.26,0.158,0.68,0.0501,0.359,169.959,116647,4
Freddie Dredd,Limbo,aesthetic rap,0.802,0.623,11,-5.862,0,0.459,0.0292,0.055,0.113,0.457,74.987,169947,4
"J Balvin, Skrillex",In Da Getto,reggaeton,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,131067,4
"młody klakson, Gunda",kiss me thru the phone,polish viral rap,0.719,0.798,11,-6.292,1,0.0503,0.000386,0.852,0.135,0.177,150.196,227204,4
MAKAVELIGODD,Vaas,dark trap,0.916,0.69,1,-7.082,1,0.305,0.0442,0.16,0.0726,0.762,155.025,99657,4
"XL, Wiatr, Kubi Producent",Up&Down,polish trap,0.724,0.728,7,-7.191,1,0.0537,0.0934,0.00114,0.0867,0.331,95.047,168576,4
XL,VVS,polish trap,0.661,0.743,0,-6.108,1,0.0763,0.00418,0.0,0.139,0.307,159.866,145286,4
"XL, Cheatz, BarTie",BRAWA,polish trap,0.709,0.673,6,-6.425,1,0.17,0.0863,0.0,0.102,0.505,139.931,123481,4
XL,Jimmy,polish trap,0.757,0.452,1,-8.141,1,0.164,0.069,7.44e-05,0.115,0.579,160.007,111687,4
"wavyzien, adimajer, XL",GOAT,smutny rap,0.689,0.722,8,-9.845,0,0.188,0.18,0.0,0.116,0.666,151.892,167974,4
"Pitbull, Chris Brown",International Love (feat. Chris Brown),dance pop,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,227280,4
Cooliecut,Dogs Out,,0.763,0.68,3,-7.37,0,0.259,0.0642,0.0,0.103,0.81,147.074,65045,4
REDZED,Dead Bodies Everywhere,czsk hip hop,0.814,0.857,1,-5.713,1,0.0928,0.00143,0.0,0.087,0.0859,92.036,118701,4
"BeCeKa, Floral Bugs",Myślodsiewnia,,0.689,0.788,8,-4.366,0,0.377,0.245,0.0,0.0746,0.556,139.804,201975,4
Dxfvlt,tactical nuke,,0.67,0.808,1,-7.168,1,0.275,0.087,0.0,0.178,0.389,190.839,99943,4
Kordhell,Scopin,drift phonk,0.809,0.972,8,-1.653,1,0.0616,0.065,0.12,0.0311,0.641,98.013,101633,4
"Kizo, BeMelo, Gory",Discopolo,polish hip hop,0.769,0.83,8,-5.331,1,0.337,0.327,2.5e-06,0.232,0.522,134.959,193333,4
"Janusz Walczuk, Waima, Premixm, Diffi, Xad, yezusslime",Teleport,polish hip hop,0.831,0.742,7,-5.746,1,0.272,0.159,0.0,0.107,0.963,142.137,179185,4
"QueQuality, Kombii, Przyłu, Filipek, Gibbs, Bober, Szymi Szyms, 4Money",Pokolenie ale to QMPLE,polish alternative rap,0.639,0.693,2,-6.421,1,0.0932,0.246,1.05e-05,0.191,0.386,130.138,210944,4
"QueQuality, Kabe, Opiat",Coachella,polish alternative rap,0.682,0.768,5,-5.793,1,0.124,0.388,1.42e-05,0.322,0.288,142.1,180000,4
"QueQuality, Gibbs, Szymi Szyms, OsaKa, 4Money",Oda do butli,polish alternative rap,0.709,0.432,7,-8.269,1,0.0387,0.847,0.0,0.124,0.17,116.056,185764,4
"QueQuality, Gibbs, Przyłu, 4Money",Duchy,polish alternative rap,0.693,0.519,4,-9.003,0,0.158,0.459,0.0,0.186,0.257,132.014,208182,4
"QueQuality, Miszel, Przyłu, Bober, OsaKa, Szymi Szyms",Maltańskie tango,polish alternative rap,0.868,0.76,7,-6.9,1,0.177,0.151,0.0,0.0865,0.55,120.036,189000,4
Lit Sizzurp,Koza,,0.55,0.823,4,-4.448,0,0.0533,0.0575,0.0,0.368,0.465,85.545,101606,4
Wrzecion,JAK,,0.697,0.784,7,-10.517,1,0.159,0.387,0.0,0.118,0.684,143.086,181259,4
"Johan, Wrzecion, gradziu, bvrtek",budzibuzibuzi,,0.75,0.604,1,-9.311,0,0.377,0.227,0.0,0.26,0.544,163.917,160500,5
"Wrzecion, StartRap",In Vino Veritas,,0.809,0.655,1,-8.24,1,0.184,0.618,0.0,0.0827,0.749,152.031,161053,4
"Wrzecion, ZetHa",DOPAMINA 2,,0.9,0.737,0,-6.166,1,0.0598,0.152,2.87e-05,0.119,0.622,124.959,152700,4
Wrzecion,PARĘ CHWIL,,0.8,0.589,0,-11.346,0,0.05,0.774,0.0,0.119,0.821,139.938,165571,4
Post Malone,No Option,dfw rap,0.575,0.734,2,-4.949,1,0.057,0.0757,0.0,0.241,0.494,83.986,179827,4
Grabbitz,Here With You Now,brostep,0.612,0.703,6,-5.227,0,0.035,0.000945,0.00409,0.267,0.232,86.988,273380,4
iamjakehill,By the Sword,sad rap,0.685,0.76,2,-7.813,1,0.0512,0.0199,0.151,0.0866,0.781,160.035,125812,4
MoonDeity,NEON BLADE,gym phonk,0.548,0.996,7,-2.169,1,0.112,0.0284,0.92,0.595,0.893,94.999,265263,4
Floral Bugs,Mazda MX-5,polish hip hop,0.792,0.821,11,-6.1,0,0.202,0.156,0.0,0.69,0.786,149.923,205869,4
Floral Bugs,#hot16challenge2,polish hip hop,0.59,0.55,8,-7.391,1,0.384,0.482,0.0,0.135,0.509,142.957,104412,4
Pop Smoke,Get Back,brooklyn drill,0.798,0.649,9,-6.546,1,0.306,0.0746,1.34e-05,0.517,0.566,142.006,108160,4
Hamdi,Discovery,bassline,0.779,0.837,11,-7.028,0,0.0541,0.0567,0.000474,0.124,0.141,140.008,260594,4
"Poter Carlos, swierze piraty",Włodzimierz Biały,,0.679,0.594,1,-7.779,1,0.64,0.118,0.0,0.232,0.559,172.256,50011,5
"OsaKa, Szymi Szyms, Przyłu",Wolverine - Remix,polish hip hop,0.791,0.776,4,-7.614,1,0.111,0.145,0.0,0.097,0.8,140.034,154286,4
Astrogxral,Full Power,polish underground rap,0.769,0.586,0,-7.545,1,0.296,0.223,0.0,0.0974,0.559,171.899,149312,4
"Szymi Szyms, OsaKa, PierdelaBier",Bakayaro,polish drill,0.743,0.725,11,-8.072,0,0.315,0.267,0.0,0.0669,0.495,81.233,234742,4
"indahouse, Szymi Szyms, OsaKa, Adrian Forest, FVCKOFF, Cheez",Jestem zielony,,0.56,0.717,11,-7.365,0,0.487,0.0354,0.0,0.146,0.432,92.229,140870,4
"HEAVYWEIGHT, Kizo, Jongmen, Bonus RPK, Oil Beatz",Heavyweight RMX,polish hip hop,0.77,0.602,1,-6.349,1,0.149,0.0822,0.0,0.0718,0.185,140.074,281267,4
"Kizo, Sapi Tha King, Olszakumpel, Worek",Wembley,polish hip hop,0.607,0.807,10,-4.913,0,0.379,0.0286,0.0,0.0833,0.655,145.174,191333,4
"Gibbs, Kiełas",Piękny Świat,polish hip hop,0.509,0.765,4,-9.142,0,0.0763,0.0703,0.000504,0.164,0.274,90.356,233425,4
indahouse,seeks (skit 1),,0.752,0.554,1,-9.583,1,0.238,0.0432,1.22e-06,0.367,0.42,97.118,148454,4
indahouse,podaj wódkę (skit 2),,0.608,0.58,1,-10.214,1,0.368,0.101,5.12e-05,0.21,0.384,164.913,177455,4
BeCeKa,Prorok Codzienny,,0.689,0.859,1,-3.784,1,0.161,0.3,0.0,0.0902,0.432,159.967,147750,4
"Miszel, Kabe",Sheraton,polish drill,0.583,0.835,1,-6.362,0,0.179,0.457,0.0,0.328,0.686,150.031,164859,4
"Fukaj, charlie moncler",DAŁBYM WSZYSTKO CO MAM,polish hip hop,0.704,0.709,8,-8.944,0,0.248,0.462,0.0,0.0956,0.281,160.11,222000,4
"White Widow, Nolyrics Beats",BEEF,polish hip hop,0.682,0.837,4,-6.418,1,0.257,0.058,0.0,0.163,0.536,161.83,189633,4
"SXMPRA, ISVVC",Nixon's Cassette,drift phonk,0.802,0.88,1,-7.446,1,0.525,0.326,0.0,0.0628,0.293,180.094,170667,4
"SXMPRA, Sinizter",DEAD OR ALIVE,drift phonk,0.695,0.949,8,-6.11,1,0.329,0.231,0.108,0.391,0.358,135.016,163556,4
"SXMPRA, Dozy Doe",NIGHTMARE,drift phonk,0.567,0.8,1,-5.622,1,0.311,0.0119,0.00894,0.341,0.521,172.939,139143,4
SXMPRA,COWBELL WARRIOR!,drift phonk,0.747,0.801,2,-5.826,1,0.334,0.0287,2.97e-05,0.441,0.707,167.077,149461,4
Dwa Sławy,Do Ryma,polish hip hop,0.615,0.918,10,-4.517,0,0.226,0.553,0.0,0.0936,0.566,80.168,165094,4
Fox Stevenson,Go Like - D&B Remix,complextro,0.631,0.873,8,-2.487,1,0.0958,0.00342,0.000183,0.463,0.543,86.063,202326,4
Stray Kids,God’s Menu,k-pop,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,167922,4
Komil,Sashimi,,0.87,0.804,1,-5.503,1,0.157,0.119,0.0,0.476,0.386,119.987,158000,4
Jacuś,PENTHOUSE,polish hip hop,0.577,0.592,7,-7.067,1,0.118,0.361,0.0,0.41,0.784,89.911,203280,4
"Lil Nigma, Christmass",Kraina Snów,,0.882,0.367,1,-16.072,0,0.404,0.451,2.65e-06,0.106,0.694,85.517,136155,4
100 gecs,bloodstains,bubblegum bass,0.547,0.398,10,-9.142,1,0.541,0.182,0.000436,0.308,0.406,87.373,129015,4
"Louis Villain, Kabe",FEFE2,polish hip hop,0.692,0.658,2,-4.836,0,0.58,0.29,0.0,0.111,0.23,142.835,177902,4
"chillwagon, Borixon, TEDE, ReTo, SecretRank",3wagon,polish hip hop,0.51,0.71,1,-7.365,1,0.429,0.173,0.0,0.383,0.76,81.501,201995,4
Młody Nykiel,moja bb,,0.666,0.561,10,-8.383,0,0.24,0.0982,0.0,0.0989,0.0854,130.029,162668,3
Zeamsone,BIO,polish hip hop,0.704,0.725,2,-8.551,1,0.255,0.445,0.0,0.0514,0.352,142.916,166577,4
"Zeamsone, Koneser",Kolejny Rozbity Bentley,polish hip hop,0.658,0.564,8,-9.823,0,0.273,0.635,0.0,0.105,0.605,146.126,230137,4
"Excision, Seven Lions, Dimibo",The Paradox - Seven Lions & Dimibo Remix,brostep,0.413,0.908,1,-4.819,1,0.107,0.00263,0.636,0.258,0.033,104.956,285520,3
Freddie Dredd,Killin' On Demand,aesthetic rap,0.886,0.741,10,-5.043,1,0.0682,0.00254,0.000134,0.151,0.95,140.024,129196,4
Don Toliver,After Party,pop rap,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4
Pop Smoke,Invincible,brooklyn drill,0.548,0.732,11,-5.652,0,0.336,0.125,0.0,0.269,0.612,142.791,127547,4
Pop Smoke,Dior,brooklyn drill,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4
"Piotr Cartman, Profesor Smok",Shinigami,polish alternative rap,0.741,0.836,1,-3.899,1,0.177,0.203,0.0,0.0913,0.234,138.044,201739,4
"Piotr Cartman, Słoń",Creepy flex,polish alternative rap,0.746,0.934,11,-5.496,0,0.308,0.102,0.0,0.088,0.465,148.056,218822,4
Piotr Cartman,Babadook,polish alternative rap,0.732,0.913,1,-3.904,1,0.401,0.478,0.0,0.373,0.651,167.995,132000,4
"PlanBe, Sir Mich, Wac Toja",Złe autorytety,polish hip hop,0.924,0.544,9,-7.466,1,0.41,0.121,0.0,0.0515,0.774,139.983,150367,5
Otsochodzi,KFC,polish hip hop,0.798,0.84,2,-6.636,1,0.187,0.0584,0.0,0.172,0.755,154.98,148645,3
Lil Darkie,GENOCIDE,glitchcore,0.457,0.965,1,0.457,1,0.486,0.085,0.0,0.697,0.604,170.122,632625,4
Kizo,Miasto 24H,polish hip hop,0.727,0.617,10,-6.397,0,0.189,0.331,0.0,0.133,0.741,88.11,180060,4
Kizo,Art,polish hip hop,0.624,0.664,10,-6.253,1,0.44,0.102,0.0,0.229,0.409,103.672,185720,4
"Kizo, BeMelo, mikipublicenemy",Myto,polish hip hop,0.816,0.533,8,-8.359,0,0.554,0.501,0.0,0.101,0.607,154.705,154839,4
"VHS, Vłodarski",MEFEDRON,polish viral pop,0.74,0.544,9,-8.971,1,0.0672,0.478,0.0,0.157,0.561,155.944,120000,4
"VHS, Vłodarski, Majki",MEFEDRON - Majki Remix,polish viral pop,0.801,0.74,1,-6.181,1,0.274,0.22,0.0,0.438,0.652,148.063,131351,4
"Oki, @atutowy",Bardziej Sobą Niż Kiedykolwiek,polish hip hop,0.599,0.543,5,-10.456,0,0.489,0.346,0.0,0.128,0.331,87.27,211956,4
"Oki, Harnol Gang, Master Orbit",Total Bandits Polne,polish hip hop,0.771,0.567,2,-5.953,1,0.254,0.423,0.0,0.119,0.516,91.017,287987,4
"Oki, PSR, Phunk'ill",Stado Hartów,polish hip hop,0.789,0.715,5,-5.529,1,0.381,0.182,0.0,0.772,0.963,92.014,161087,4
"Oki, Magiera",I To Jest Fakt,polish hip hop,0.781,0.669,8,-6.465,0,0.448,0.198,0.0,0.0849,0.881,170.156,71520,4
Zero 9:36,I'm Not,,0.528,0.875,9,-4.039,1,0.0559,0.00323,0.0,0.34,0.484,94.972,163263,4
"Zero 9:36, No Love For The Middle Child",Come Thru,,0.613,0.86,4,-4.065,1,0.0425,0.0247,0.0,0.438,0.638,93.042,177227,4
Zero 9:36,Adrenaline,,0.523,0.783,9,-5.35,0,0.0333,0.00114,0.0,0.151,0.283,140.039,204359,4
DJ Snake,Trust Nobody,dance pop,0.45,0.912,1,-2.659,1,0.0485,0.00774,8.48e-05,0.574,0.328,150.026,211200,4
Zero 9:36,Leave The Light On,,0.679,0.559,9,-7.248,0,0.0407,0.0131,0.0,0.25,0.522,130.042,184615,4
MISSIO,Everybody Gets High,modern alternative rock,0.432,0.558,11,-6.843,1,0.286,0.0234,0.000358,0.0924,0.46,58.748,212093,4
Mata,Wino Sangrita (s01e01),polish hip hop,0.798,0.545,7,-9.991,0,0.429,0.116,0.0,0.0706,0.231,81.037,294760,4
"Mata, DJ Flip",Tango,polish hip hop,0.648,0.595,11,-8.165,0,0.326,0.1,0.0,0.167,0.226,85.466,192560,4
Bassboy,Hollywood,bass house,0.916,0.819,0,-6.997,1,0.138,0.00323,0.00866,0.08,0.61,128.022,257000,4
DJ Jacob,Midnight Club,drift phonk,0.912,0.504,7,-9.168,1,0.312,0.0357,0.861,0.0831,0.5,120.969,130909,4
"Bedoes 2115, Kubi Producent",Filipiny,polish hip hop,0.696,0.84,8,-5.374,0,0.344,0.122,0.0,0.243,0.369,150.121,160676,4
"Phonk Killer, Kingpin Skinny Pimp",Trunk,,0.753,0.925,1,-4.534,0,0.105,0.106,0.835,0.0888,0.6,168.872,125156,4
shymczyk,stamina,,0.854,0.585,10,-4.711,0,0.288,0.12,0.0,0.159,0.577,91.83,160784,4
"Miszel, Onar, D3W",200KM/H,polish drill,0.752,0.521,4,-8.256,0,0.296,0.106,0.00877,0.106,0.138,172.068,215000,4
"Miszel, Aleshen, Premixm",cały mój świat,polish drill,0.684,0.618,11,-9.112,0,0.261,0.0243,1.54e-05,0.0979,0.213,142.073,166000,4
"Miszel, Premixm",konsekwencje,polish drill,0.763,0.584,8,-9.7,1,0.345,0.187,5.95e-05,0.0784,0.501,145.172,205000,4
Komil,Monopoly,,0.577,0.596,7,-5.871,1,0.107,0.0387,6.38e-06,0.427,0.0949,139.693,263133,4
"Bambo the Smuggler, Mobbyn",Plata o Plomo II,,0.5,0.709,2,-8.93,1,0.339,0.243,0.0,0.0595,0.681,160.192,206266,4
"Aleshen, ggweely",VANISH,polish hip hop,0.805,0.434,1,-11.28,1,0.395,0.057,0.0,0.258,0.57,160.014,148559,4
"2115, Bedoes 2115, White 2115, Kuqe 2115, Flexxy 2115",WIĘCEJ DYMU,polish hip hop,0.816,0.679,6,-6.513,0,0.303,0.0537,0.0,0.0498,0.68,165.906,165001,4
"Miszel, Kingstep, Premixm, SlvR Beatz",slide,polish drill,0.623,0.734,10,-8.339,1,0.0528,0.00771,0.00528,0.265,0.361,142.093,172000,4
"Miszel, Premixm",zerwany łańcuch,polish drill,0.654,0.672,9,-7.093,1,0.19,0.37,0.0,0.233,0.293,143.987,123359,4
"Miszel, DJ West, Premixm",realtalk,polish drill,0.51,0.822,1,-7.212,1,0.345,0.125,0.0,0.193,0.547,115.075,202000,4
"Miszel, Kaz Bałagane, Premixm",1997*,polish drill,0.724,0.631,1,-8.58,1,0.198,0.0653,0.00423,0.0443,0.771,146.038,179000,4
"Miszel, Buffel, lydek404",hollywood,polish drill,0.699,0.646,2,-8.549,1,0.231,0.0672,3.7e-06,0.0724,0.387,144.833,229000,4
"młodyba, MARO, SPAWN",Naucz się klaskać,polish underground rap,0.889,0.602,3,-9.995,0,0.245,0.13,5.95e-06,0.213,0.665,129.992,169846,4
"młodyba, yJOZE",Nostradamus,polish underground rap,0.798,0.586,11,-10.263,0,0.323,0.00744,0.0,0.299,0.467,144.021,151527,4
młodyba,Nie zasnę,polish underground rap,0.746,0.502,6,-10.56,0,0.086,0.587,0.000117,0.0981,0.388,79.95,153750,4
"Pazzy, młodyba, SAMER",SMUTNE KINO,polish underground rap,0.832,0.599,1,-8.653,1,0.301,0.00116,0.0,0.109,0.225,154.939,188988,4
"Rusina, learnhowtohustle, młodyba",Natura,polish hip hop,0.747,0.396,0,-12.435,0,0.133,0.0092,0.0,0.109,0.252,155.016,156964,4
"Rusina, młodyba",PARANOJA,polish hip hop,0.574,0.613,11,-6.391,0,0.382,0.0732,0.0,0.113,0.33,77.434,174968,4
"Gruby AK47, Zeju POG, Japczan",ŻYCIA SCHEMAT,polish viral rap,0.811,0.711,8,-7.304,1,0.334,0.276,0.0,0.0662,0.648,90.024,147000,4
"Sentino, Nitro, MASNY BEN, mgng",Trójkąt Bermudzki,polish hip hop,0.645,0.839,1,-4.575,1,0.168,0.323,0.0,0.214,0.632,128.072,225000,4
"White Widow, Swizzy",COOKIN UP,polish hip hop,0.812,0.753,9,-8.924,0,0.307,0.0111,0.0,0.093,0.572,96.038,180000,4
JELEEL!,DIVE IN!,rage rap,0.7,0.792,6,-5.28,1,0.0459,0.00128,7.64e-05,0.375,0.422,139.978,100500,4
Majkel Buszu,ŁEZKA,,0.822,0.511,8,-7.922,1,0.468,0.175,0.0,0.0796,0.284,169.006,183195,4
Majkel Buszu,"TRAP, TRAP",,0.915,0.681,11,-7.277,0,0.286,0.0568,0.0,0.0566,0.421,140.035,125388,4
"Homosome, ThinPipe, u_cash",MrKrecha,,0.695,0.736,10,-9.055,0,0.294,0.121,9.55e-05,0.208,0.807,165.951,116407,4
ItaloBrothers,Stamp On The Ground,hands up,0.635,0.827,11,-7.541,0,0.0583,0.211,0.00719,0.0947,0.272,149.974,197962,4
Dxrk ダーク,RAVE,drift phonk,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,169245,4
FKA twigs,ride the dragon,afrofuturism,0.773,0.366,8,-11.327,1,0.112,0.354,0.00302,0.0707,0.509,147.948,188773,4
Wrzecion,PRAPAPA,,0.807,0.574,1,-8.95,1,0.214,0.227,7.02e-05,0.111,0.313,154.995,126505,4
2NE1,멘붕 - CL SOLO,dance pop,0.756,0.792,2,-4.015,1,0.0367,0.0166,0.0077,0.108,0.207,99.995,195748,4
Kwabs,Walk,gauze pop,0.615,0.814,9,-3.903,0,0.0677,0.17,0.0,0.218,0.577,144.005,214150,4
"ITSOKTOCRY, yung saab",HOLOBOOSTERPAKK!,cloud rap,0.792,0.706,8,-4.612,1,0.101,0.0359,0.617,0.129,0.308,79.996,192650,4
Young Multi,Trap II,polish hip hop,0.813,0.822,7,-7.092,1,0.355,0.18,0.0,0.296,0.517,150.038,192240,4
"Miszel, Kabe, Premixm",dres,polish drill,0.649,0.548,8,-10.616,1,0.0749,0.0825,0.0,0.315,0.719,146.085,175890,4
"Baba Hassan, Pusher, Oska030, Polski Bandyta, Newlight$",MARRAKESH,polish drill,0.773,0.654,9,-7.675,1,0.413,0.623,1.73e-05,0.122,0.471,159.902,197419,4
Młody Ozi,ART,polish hip hop,0.782,0.781,9,-9.034,1,0.285,0.138,0.0,0.334,0.715,100.025,134400,4
Młody Nykiel,Kręć tym ile możesz,,0.568,0.512,5,-10.127,1,0.397,0.369,0.0,0.164,0.539,87.716,114917,4
Krasu,01203,,0.714,0.602,11,-6.956,1,0.244,0.167,0.0,0.161,0.522,142.99,154681,4
"A Boogie Wit da Hoodie, Kodak Black",Drowning (feat. Kodak Black),melodic rap,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,209269,4
"Young Kai, Rarri Jackson",No Face No Case,polish trap,0.782,0.533,5,-7.965,0,0.299,0.061,0.0,0.109,0.492,161.876,151111,4
Juru,Nie istnieje,,0.689,0.327,4,-14.409,0,0.755,0.881,0.0,0.0956,0.482,88.927,152790,4
"LXST CXNTURY, Kingpin Skinny Pimp",ODIUM,chill phonk,0.708,0.781,11,-8.267,0,0.0638,0.163,0.885,0.392,0.345,74.997,166579,4
NOES,Like A Boss,turkish trap,0.605,0.916,2,-3.589,1,0.0567,0.0149,0.453,0.122,0.388,157.91,177058,4
"Słoń, Szpaku",Sicario,polish hip hop,0.866,0.853,7,-5.77,1,0.322,0.155,0.0,0.137,0.356,89.979,211833,4
"Kali, Major SPZ, Sir Mich",Mona Lisa,polish hip hop,0.731,0.697,6,-4.766,1,0.0652,0.334,0.0,0.0874,0.948,154.992,157989,4
"Kali, Major SPZ",Puk Puk,polish hip hop,0.83,0.683,9,-8.433,1,0.351,0.142,0.0,0.101,0.382,161.918,207407,4
