artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Berson, WŁODAR, @atutowy",Hakuna Matata,polish alternative rap,0.863,0.63,2,-7.459,1,0.33,0.147,7.84e-06,0.0967,0.601,92.076,137440,4
"Sapi Tha King, Kubi Producent, Traperhoff",10K20K,,0.842,0.682,1,-6.363,1,0.318,0.0971,0.0,0.105,0.596,152.115,183947,4
Mlodyskiny,Towar,polish alternative rap,0.697,0.804,1,-7.382,1,0.138,0.353,0.694,0.312,0.0515,158.006,115862,4
"Kizo, Polski Bandyta, BeMelo",Milord,polish hip hop,0.823,0.645,2,-6.906,1,0.222,0.034,2.55e-06,0.194,0.333,101.976,162353,4
"Kizo, Sergiusz",Patocelebryta,polish hip hop,0.615,0.571,0,-7.324,1,0.388,0.323,0.0,0.119,0.27,79.593,194430,4
Faceless 1-7,Cold Blood Warm Nights,aesthetic rap,0.408,0.696,11,-8.428,1,0.32,0.289,0.00236,0.316,0.48,69.812,132962,4
Terror Reid,Say No Mo',dark trap,0.729,0.743,10,-8.355,0,0.367,0.0708,0.0,0.204,0.69,90.424,161333,4
Terror Reid,STEP BACK! (VOODOO SHIT),dark trap,0.829,0.731,4,-5.201,0,0.223,0.00415,0.0,0.168,0.243,86.005,214884,4
"Terror Reid, Pouya",Outlawz,dark trap,0.787,0.86,6,-6.38,0,0.182,0.209,0.0,0.0777,0.625,89.994,224000,4
Foreign Beggars,Contact,brostep,0.754,0.847,1,-4.113,1,0.325,0.0168,0.0,0.491,0.617,110.022,190387,4
Token,Flamingo,boston hip hop,0.806,0.732,1,-7.601,0,0.327,0.147,0.000237,0.165,0.665,150.045,231837,4
Token,Mom Would Agree,boston hip hop,0.67,0.516,8,-7.432,1,0.398,0.0684,0.0,0.406,0.342,85.583,167445,4
"Kendrick Lamar, MC Eiht",m.A.A.d city,conscious hip hop,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
Token,Toy Story,boston hip hop,0.744,0.674,1,-8.038,1,0.262,0.052,0.0,0.439,0.49,140.108,178408,4
"Diffi, Waima",Once Or Twice,polish drill,0.783,0.932,3,-8.078,0,0.15,0.268,8.27e-06,0.215,0.638,141.922,133520,4
Moli,z ust,polish hip hop,0.741,0.425,10,-9.925,1,0.415,0.166,0.0,0.108,0.421,199.773,151200,4
"SB Maffija, Szaran",Mały król,polish hip hop,0.837,0.457,2,-10.246,1,0.276,0.291,0.0,0.101,0.314,96.022,130000,4
Delta Heavy,Demons,brostep,0.518,0.83,9,-4.962,0,0.0412,0.00021,0.00603,0.525,0.192,139.986,282263,4
chillwagon,stukupuku (trailer),polish hip hop,0.761,0.59,5,-7.211,0,0.28,0.554,0.0,0.0905,0.711,146.813,210089,4
"Bedoes 2115, Lanek, Flexxy 2115, Kuqe 2115",Hardcore Pleasure,polish hip hop,0.721,0.624,6,-9.622,1,0.275,0.108,0.0,0.145,0.693,150.909,143813,4
Wac Toja,CIEPŁO CIAŁA,polish hip hop,0.686,0.78,8,-3.821,0,0.161,0.018,0.0,0.098,0.691,160.106,186000,4
"Lanek, Żabson, Smolasty, Kizo",Safari,polish electronica,0.748,0.796,1,-5.435,1,0.22,0.341,0.0,0.39,0.753,148.171,171050,4
"Oki, Żabson, zxbrv",DLA ZIOMALI,polish hip hop,0.715,0.785,7,-4.392,0,0.248,0.0369,0.0,0.0906,0.891,152.025,183160,4
"Kayak, wavyzien",PIXA NA ŁEB,,0.952,0.479,2,-8.513,1,0.142,0.362,7.29e-05,0.111,0.175,124.984,161953,4
"Floral Bugs, 4Money",DIGGA,polish hip hop,0.732,0.79,8,-5.878,1,0.369,0.225,0.0,0.107,0.666,175.027,156131,4
"DR. KUCHO!, Gregor Salto, Oliver Heldens",Can't Stop Playing - Oliver Heldens & Gregor Salto Remix Edit,,0.786,0.95,6,-5.636,1,0.0404,0.0193,0.773,0.176,0.711,124.988,180490,4
Waima,Zły,polish hip hop,0.669,0.792,4,-6.603,0,0.118,0.346,0.0,0.111,0.433,174.116,144134,5
"Oliver Heldens, Becky Hill",Gecko (Overdrive) - Radio Edit,dutch house,0.609,0.885,0,-5.469,1,0.0642,0.00521,1.15e-05,0.336,0.76,124.959,165441,4
"QueQuality, Filipek, Bober, Cooks",Puste flaszki i szlugi,polish alternative rap,0.854,0.637,8,-7.437,1,0.1,0.231,0.0,0.233,0.705,127.985,142715,4
"Floral Bugs, Ghetto Cognac",Motorola,polish hip hop,0.542,0.901,2,-4.071,1,0.201,0.178,0.00436,0.0894,0.19,149.665,151606,4
"Pusher, GRACEK, Baba Hassan",Leje Wina,polish drill,0.762,0.96,8,-3.627,1,0.046,0.022,5.58e-06,0.0891,0.847,134.945,142222,4
FORTELLA,Get Up Off The Floor,,0.764,0.817,4,-5.135,0,0.148,0.0422,0.663,0.245,0.415,122.024,155000,4
Getter,Riot,brostep,0.515,0.853,1,-7.121,1,0.0413,2.92e-05,0.406,0.129,0.0404,144.933,235448,4
Getter,Sick Jet Pack Bro,brostep,0.708,0.979,6,-1.141,0,0.0695,0.000607,0.601,0.317,0.698,160.016,221250,4
Getter,ADHD,brostep,0.612,0.876,1,-4.659,1,0.105,0.0038,0.0529,0.285,0.374,159.999,132000,4
"12 Gauge, Getter",Clutch - Getter Remix,atlanta bass,0.804,0.959,9,-4.018,1,0.145,7.41e-05,0.836,0.395,0.191,140.016,222268,4
Getter,Devil VIP - VIP Mix,brostep,0.611,0.825,1,-8.532,1,0.0437,1.75e-05,0.0644,0.0925,0.127,85.024,251294,4
"Hermitude, Mataya, Young Tapz",The Buzz,australian dance,0.735,0.583,0,-6.434,0,0.174,0.33,0.00137,0.122,0.497,140.969,221787,4
REDZED,Rave in the Grave,czsk hip hop,0.734,0.878,1,-2.172,1,0.0396,0.000266,0.0,0.0973,0.297,86.03,145137,4
REDZED,Meth Phonk,czsk hip hop,0.744,0.78,4,-2.909,1,0.043,0.00116,3.1e-05,0.0771,0.582,143.989,139583,4
Zeamsone,Cena Ambicji,polish hip hop,0.697,0.468,0,-11.904,0,0.178,0.627,0.0,0.111,0.64,111.028,121622,3
Elliphant,Boom Your Head,electropop,0.549,0.82,4,-3.239,0,0.347,0.0583,0.0,0.786,0.807,164.071,185219,4
Elliphant,Love Me Badder,electropop,0.554,0.75,3,-5.394,1,0.0476,0.00811,0.0,0.186,0.37,78.02,234577,4
Zeamsone,5 INFLUENCEREK,polish hip hop,0.746,0.637,8,-7.732,0,0.245,0.398,0.0,0.126,0.849,143.001,144336,4
Erd1,Last Night,,0.866,0.654,2,-6.289,1,0.102,0.000487,0.00176,0.123,0.348,125.04,141220,4
"Zeds Dead, Delta Heavy, Blunts & Blondes",Lift You Up (Blunts & Blondes Remix),brostep,0.596,0.943,9,-1.918,0,0.103,0.00326,0.717,0.293,0.635,150.014,260561,4
"Zeds Dead, GRiZ",Ecstasy Of Soul,brostep,0.379,0.898,11,-2.19,0,0.219,0.0238,0.0265,0.374,0.129,150.223,238400,4
"matiskater, Yung Nike",SOCZEK,polish trap,0.845,0.704,1,-10.524,1,0.23,0.0266,0.0,0.092,0.566,98.943,157633,4
DJ Bazz,Andre & Michelle (Original Mix),,0.802,0.981,9,-7.746,1,0.0562,0.000501,0.825,0.046,0.686,134.989,440883,4
matiskater,CERBER,polish trap,0.66,0.368,10,-10.548,0,0.226,0.0996,2.29e-05,0.335,0.325,62.17,156804,4
"YBG INKUS, matiskater",Młoda anarchia,,0.519,0.374,8,-15.386,1,0.123,0.0199,1e-06,0.1,0.0901,138.054,183734,4
"matiskater, Chaos Beats",NIE WIEM GDZIE JESTEM,polish trap,0.69,0.591,10,-9.183,1,0.391,0.249,0.0,0.168,0.515,168.084,163865,4
matiskater,APAP,polish trap,0.56,0.903,7,-8.074,0,0.23,0.189,0.000251,0.13,0.43,134.036,162012,5
"Fukaj, charlie moncler",GÓRA,polish hip hop,0.605,0.738,2,-7.153,1,0.148,0.0811,0.0,0.126,0.583,163.941,91960,4
"Zeds Dead, Blunts & Blondes",Think Of You,brostep,0.615,0.89,6,-4.182,1,0.059,0.0194,0.647,0.161,0.314,140.017,185143,4
"Zeds Dead, Dragonette, DNMO",Neck And Neck - DNMO Remix,brostep,0.601,0.591,5,-7.407,0,0.0337,0.0188,0.0766,0.126,0.37,150.044,182400,4
"Haranczykov, Niemy",NON STOP SESJA,polish underground rap,0.842,0.553,6,-10.804,1,0.306,0.0036,0.0,0.153,0.779,160.028,132687,4
"Deadlycold, Kozakpolv",F**K12,,0.824,0.832,7,-9.709,1,0.14,0.0276,0.0,0.0312,0.965,159.93,132281,4
"Ziarecki, Szymi Szyms, FVCKOFF",Bluetooth,polish hip hop,0.823,0.681,0,-8.679,1,0.311,0.265,0.0,0.07,0.69,148.108,157297,4
"Haranczykov, Niemy",Weź nie pytaj,polish underground rap,0.822,0.851,8,-8.074,0,0.368,0.0592,0.000105,0.701,0.929,149.938,104183,4
"Mlody Korden, cygan9",GENG!,polish trap,0.944,0.48,1,-4.816,1,0.328,0.0506,8.22e-05,0.0553,0.357,120.193,80877,4
White Widow,CLICK CLACK,polish hip hop,0.747,0.611,1,-9.037,1,0.169,0.128,0.0,0.0889,0.464,87.474,233143,4
indahouse,klap klap,,0.767,0.743,5,-8.872,1,0.106,0.0996,1.71e-05,0.083,0.713,77.514,102195,4
REMONT,Całujemy Pomnik Papieża,,0.878,0.662,2,-6.789,1,0.302,0.127,0.0,0.097,0.59,113.93,190116,4
Freddie Dredd,Treachery,aesthetic rap,0.813,0.862,10,-4.81,0,0.0381,0.00327,0.00205,0.0734,0.943,143.0,121307,4
Freddie Dredd,Wrath,aesthetic rap,0.789,0.541,2,-6.449,1,0.0733,0.0931,0.0281,0.137,0.732,149.229,113547,4
"HEAVYWEIGHT, Kizo, Bonus RPK, Jongmen",F16,polish hip hop,0.838,0.798,6,-4.472,1,0.29,0.252,0.0,0.142,0.667,148.09,169654,4
"HEAVYWEIGHT, Kizo, Kabe, Jongmen",Wszystko Si,polish hip hop,0.874,0.763,11,-6.669,1,0.338,0.0742,0.0,0.069,0.701,139.923,154268,4
"Kizo, Janusz Walczuk, clearmind, Worek",Avatar,polish hip hop,0.711,0.87,0,-5.756,1,0.085,0.0202,2.47e-06,0.218,0.686,139.952,169714,4
"Kizo, BeMelo",Kizo Mood,polish hip hop,0.779,0.805,10,-5.912,0,0.102,0.165,4.55e-05,0.175,0.809,135.994,161263,4
"Kizo, Diox, Szpaku","Parasol (feat. Szpaku, Diox)",polish hip hop,0.815,0.755,2,-5.523,1,0.39,0.297,0.0,0.11,0.535,79.736,253400,4
"Jony, Aleshen",Superbohater,polish trap,0.575,0.797,5,-6.63,1,0.371,0.235,0.0,0.0714,0.29,100.045,149371,4
"SB Maffija, Białas, Żabson, Lanek, Solar, Kinny Zimmer, Tomb, Wroobel",SQNHEAD,polish hip hop,0.814,0.67,7,-7.741,1,0.17,0.0774,0.0,0.215,0.617,98.021,153746,4
Aleshen,misja,polish hip hop,0.872,0.626,4,-10.267,1,0.423,0.109,0.0,0.148,0.739,157.087,100036,4
"Gedz, HVZX, Sokos, 808Bros",Chcx Chcx,polish hip hop,0.843,0.845,11,-3.189,1,0.276,0.235,2.92e-06,0.129,0.819,131.116,214351,4
"Qry, Jacuś, ZetHa",Sztuki,polish hip hop,0.81,0.648,1,-9.35,0,0.326,0.0898,0.0,0.0683,0.729,155.017,196468,4
"Jony, BAHsick",Punk,polish trap,0.711,0.555,7,-10.865,1,0.155,0.0229,0.0,0.0904,0.566,94.068,164043,4
"Jony, BAHsick",Wampiry,polish trap,0.575,0.706,2,-8.678,1,0.0826,0.09,0.0,0.104,0.103,150.049,182400,4
"Jony, Pako, Aleshen",Mr Tokyo Cypher,polish trap,0.913,0.51,8,-8.242,0,0.323,0.205,0.0,0.0827,0.252,132.05,112732,4
"Jony, Aleshen",ASAP,polish trap,0.815,0.472,3,-9.56,0,0.36,0.684,0.0,0.0743,0.882,75.028,172813,4
