artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kwiat Jabłoni,Od nowa,polish alternative,0.703,0.681,7,-8.17,1,0.059,0.524,0.0,0.287,0.772,144.966,229370,4
"Męskie Granie Orkiestra, Igo, Mrozu, Vito Bambino","Supermoce (feat. Igo, Mrozu & Vito Bambino)",polish alternative rock,0.794,0.691,2,-5.923,1,0.0483,0.0414,0.0,0.114,0.767,122.025,195701,4
Andy Williams,It's the Most Wonderful Time of the Year,adult standards,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,151933,3
PRO8L3M,Ground Zero,polish hip hop,0.691,0.723,1,-6.756,0,0.0871,0.0978,0.000485,0.0439,0.34,144.048,178004,4
"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),pop dance,0.611,0.757,6,-3.546,1,0.03,0.00257,0.0,0.058,0.279,126.963,155905,4
Lord Huron,The Night We Met,indie folk,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,208212,3
"Young Leosia, PSR",Cringowy Lovesong,polish hip hop,0.927,0.8,0,-5.886,1,0.233,0.14,3.1e-05,0.0664,0.639,134.037,189851,4
Dua Lipa,Houdini,dance pop,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,185918,4
Mitski,My Love Mine All Mine,brooklyn indie,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4
"ReTo, Wroobel",AEZAKMI,polish hip hop,0.785,0.645,0,-8.326,1,0.19,0.149,2.74e-05,0.29,0.592,142.984,139301,3
Guzior,WTC,polish hip hop,0.671,0.662,6,-7.189,0,0.112,0.5,0.0,0.115,0.216,126.462,124000,4
